year,make,model,trim,body,market,engine_oil_qty,engine_oil_unit,engine_coolant_qty,engine_coolant_unit,brake_fluid_qty,brake_fluid_unit,washer_fluid_qty,washer_fluid_unit,power_steering_fluid_qty,power_steering_fluid_unit,clutch_hydraulic_fluid_qty,clutch_hydraulic_fluid_unit,manual_trans_fluid_qty,manual_trans_fluid_unit,automatic_trans_fluid_qty,automatic_trans_fluid_unit,cvt_fluid_qty,cvt_fluid_unit,front_diff_fluid_qty,front_diff_fluid_unit,rear_diff_fluid_qty,rear_diff_fluid_unit,center_diff_or_transfer_fluid_qty,center_diff_or_transfer_fluid_unit,ac_refrigerant_qty,ac_refrigerant_unit,ac_compressor_oil_qty,ac_compressor_oil_unit,notes,source_1,source_2,confidence
1993,Subaru,Impreza,Base grades (JDM),,JDM,w/ filter: 4.2 qt / 4.0 L,5W-30 (API SJ/SL),capacity: 6.3 qt / 6.0 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Impreza FSM,AMSOIL,high
1993,Subaru,Impreza,L (US),,USDM,w/ filter: 4.2 qt / 4.0 L,5W-30 (API SJ/SL),capacity: 6.3 qt / 6.0 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Impreza FSM,AMSOIL,high
1993,Subaru,Impreza,LS (US),,USDM,w/ filter: 4.2 qt / 4.0 L,5W-30 (API SJ/SL),capacity: 6.3 qt / 6.0 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Impreza FSM,AMSOIL,high
1993,Subaru,Impreza,WRX (JDM),,JDM,w/ filter: 4.5 qt / 4.3 L,5W-30 (API SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3 | DOT 4,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,,,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,JDM Subaru FSM,AMSOIL,medium
1993,Subaru,Justy,GL (US),,USDM,w/ filter: 3.0 qt / 2.8 L,10W-30 (API SG),MT: 4.5 qt / 4.3 L | ECVT: 5.2 qt / 4.9 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,FWD: 2.3 qt / 2.2 L | 4WD: 3.5 qt / 3.3 L,80W GL-4,initial fill: 1.9 qt / 1.8 L | total FWD: 3.6 qt / 3.4 L | total 4WD: 4.3 qt / 4.1 L,DEXRON II/III,,,,,,,,,,R-12,,,front diff shared with manual trans; AT: ECVT; FWD (no rear diff); washer: fill to max,dustysjustys.com,AMSOIL,high
1993,Subaru,Legacy,Sport Sedan (US),,USDM,w/ filter: 4.2 qt / 4.0 L,5W-30 (API SJ/SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Legacy Turbo FSM,AMSOIL,high
1993,Subaru,Legacy,Touring Wagon (US),,USDM,w/ filter: 4.2 qt / 4.0 L,5W-30 (API SJ/SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Legacy Turbo FSM,AMSOIL,high
1993,Subaru,SVX,Base (US),,USDM,w/ filter: 6.3 qt / 6.0 L,5W-30 (API SJ),capacity: 8.2 qt / 7.8 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.9 qt / 0.85 L,DEXRON III ATF,,,,,initial fill: 2.6 qt / 2.5 L | total: 10.0 qt / 9.5 L,DEXRON III,,,capacity: 1.3 qt / 1.2 L,75W-90 GL-5,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,separate from AT; washer: fill to max,Subaru SVX FSM,seccs.org,high
1994,Subaru,Impreza,L (US),,USDM,w/ filter: 4.2 qt / 4.0 L,5W-30 (API SJ/SL),capacity: 6.3 qt / 6.0 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Impreza FSM,AMSOIL,high
1994,Subaru,Impreza,WRX (JDM),,JDM,w/ filter: 4.5 qt / 4.3 L,5W-30 (API SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3 | DOT 4,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,,,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,JDM Subaru FSM,AMSOIL,medium
1994,Subaru,Impreza,WRX STI V1 (JDM),,JDM,w/ filter: 4.5 qt / 4.3 L,5W-30 (API SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3 | DOT 4,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,,,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,JDM Subaru FSM,AMSOIL,medium
1994,Subaru,Justy,GL (US),,USDM,w/ filter: 3.0 qt / 2.8 L,10W-30 (API SG),MT: 4.5 qt / 4.3 L | ECVT: 5.2 qt / 4.9 L,ethylene glycol 50/50,,DOT 3 | DOT 4,,,,,,,FWD: 2.3 qt / 2.2 L | 4WD: 3.5 qt / 3.3 L,80W GL-4,initial fill: 1.9 qt / 1.8 L | total FWD: 3.6 qt / 3.4 L | total 4WD: 4.3 qt / 4.1 L,DEXRON II/III,,,,,,,,,,R-12,,,front diff shared with manual trans; AT: ECVT; FWD (no rear diff); washer: fill to max,dustysjustys.com,AMSOIL,high
1994,Subaru,Legacy,GT (US),,USDM,w/ filter: 4.2 qt / 4.0 L,5W-30 (API SJ/SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Legacy FSM,AMSOIL,high
1994,Subaru,Legacy,Sport Sedan (US),,USDM,w/ filter: 4.2 qt / 4.0 L,5W-30 (API SJ/SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Legacy Turbo FSM,AMSOIL,high
1994,Subaru,Legacy,Touring Wagon (US),,USDM,w/ filter: 4.2 qt / 4.0 L,5W-30 (API SJ/SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Legacy Turbo FSM,AMSOIL,high
1994,Subaru,SVX,Base (US),,USDM,w/ filter: 6.3 qt / 6.0 L,5W-30 (API SJ),capacity: 8.2 qt / 7.8 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.9 qt / 0.85 L,DEXRON III ATF,,,,,initial fill: 2.6 qt / 2.5 L | total: 10.0 qt / 9.5 L,DEXRON III,,,capacity: 1.3 qt / 1.2 L,75W-90 GL-5,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,separate from AT; washer: fill to max,Subaru SVX FSM,seccs.org,high
1995,Subaru,Impreza,L (US),,USDM,w/ filter: 4.2 qt / 4.0 L,5W-30 (API SJ/SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Legacy FSM,AMSOIL,high
1995,Subaru,Impreza,LX (US),,USDM,w/ filter: 4.2 qt / 4.0 L,5W-30 (API SJ/SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Legacy FSM,AMSOIL,high
1995,Subaru,Impreza,Outback Sport (US),,USDM,w/ filter: 4.2 qt / 4.0 L,5W-30 (API SJ/SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Legacy FSM,AMSOIL,high
1995,Subaru,Impreza,WRX/STI V2 (JDM),,JDM,w/ filter: 4.5 qt / 4.3 L,5W-30 (API SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3 | DOT 4,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,,,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,JDM Subaru FSM,AMSOIL,medium
1995,Subaru,Legacy,L (US),,USDM,w/ filter: 4.2 qt / 4.0 L,5W-30 (API SJ/SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Legacy FSM,AMSOIL,high
1995,Subaru,Legacy,LS (US),,USDM,w/ filter: 4.2 qt / 4.0 L,5W-30 (API SJ/SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Legacy FSM,AMSOIL,high
1995,Subaru,Legacy,Outback (US),,USDM,w/ filter: 4.2 qt / 4.0 L,5W-30 (API SJ/SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Legacy FSM,AMSOIL,high
1995,Subaru,SVX,LSi (US),,USDM,w/ filter: 6.3 qt / 6.0 L,5W-30 (API SJ),capacity: 8.2 qt / 7.8 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.9 qt / 0.85 L,DEXRON III ATF,,,,,initial fill: 2.6 qt / 2.5 L | total: 10.0 qt / 9.5 L,DEXRON III,,,capacity: 1.3 qt / 1.2 L,75W-90 GL-5,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,separate from AT; washer: fill to max,Subaru SVX FSM,seccs.org,high
1996,Subaru,Impreza,Brighton (US),,USDM,w/ filter: 4.2 qt / 4.0 L,5W-30 (API SJ/SL),capacity: 6.3 qt / 6.0 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Impreza FSM,AMSOIL,high
1996,Subaru,Impreza,L/Brighton (US),,USDM,w/ filter: 4.2 qt / 4.0 L,5W-30 (API SJ/SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Legacy FSM,AMSOIL,high
1996,Subaru,Impreza,Outback Sport (US),,USDM,w/ filter: 4.2 qt / 4.0 L,5W-30 (API SJ/SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Legacy FSM,AMSOIL,high
1996,Subaru,Impreza,WRX/STI V3 (JDM),,JDM,w/ filter: 4.5 qt / 4.3 L,5W-30 (API SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3 | DOT 4,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,,,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,JDM Subaru FSM,AMSOIL,medium
1996,Subaru,Legacy,GT (US),,USDM,w/ filter: 4.4 qt / 4.2 L,5W-30 (API SJ),capacity: 6.8 qt / 6.4 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1996,Subaru,Legacy,Outback (US),,USDM,w/ filter: 4.4 qt / 4.2 L,5W-30 (API SM/SN),capacity: 6.8 qt / 6.4 L,Subaru Super Coolant,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.7 qt / 3.5 L,Subaru Extra-S 75W-90,,,drain & fill: 4.0 qt / 3.8 L | total: 12.0 qt / 11.4 L,Subaru CVT Fluid,,,capacity: 0.8 qt / 0.76 L,Subaru Gear Oil 75W-90,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Owner Manual,AMSOIL,medium
1996,Subaru,SVX,LSi (US),,USDM,w/ filter: 6.3 qt / 6.0 L,5W-30 (API SJ),capacity: 8.2 qt / 7.8 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.9 qt / 0.85 L,DEXRON III ATF,,,,,initial fill: 2.6 qt / 2.5 L | total: 10.0 qt / 9.5 L,DEXRON III,,,capacity: 1.3 qt / 1.2 L,75W-90 GL-5,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,separate from AT; washer: fill to max,Subaru SVX FSM,seccs.org,high
1997,Subaru,Impreza,L/Brighton (US),,USDM,w/ filter: 4.2 qt / 4.0 L,5W-30 (API SJ/SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Legacy FSM,AMSOIL,high
1997,Subaru,Impreza,Outback Sport (US),,USDM,w/ filter: 4.2 qt / 4.0 L,5W-30 (API SJ/SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Legacy FSM,AMSOIL,high
1997,Subaru,Impreza,WRX/STI V4 (JDM),,JDM,w/ filter: 4.5 qt / 4.3 L,5W-30 (API SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3 | DOT 4,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,,,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,JDM Subaru FSM,AMSOIL,medium
1997,Subaru,Legacy,GT (US),,USDM,w/ filter: 4.4 qt / 4.2 L,5W-30 (API SJ),capacity: 6.8 qt / 6.4 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1997,Subaru,Legacy,Outback Limited (US),,USDM,w/ filter: 4.4 qt / 4.2 L,5W-30 (API SJ),capacity: 6.8 qt / 6.4 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1998,Subaru,Forester,L (US),,USDM,w/ filter: 4.4 qt / 4.2 L,5W-30 (API SJ),capacity: 6.8 qt / 6.4 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1998,Subaru,Forester,S (US),,USDM,w/ filter: 4.4 qt / 4.2 L,5W-30 (API SJ),capacity: 6.8 qt / 6.4 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1998,Subaru,Impreza,2.5 RS (US),,USDM,w/ filter: 4.4 qt / 4.2 L,5W-30 (API SJ),capacity: 6.8 qt / 6.4 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1998,Subaru,Impreza,L (US),,USDM,w/ filter: 4.2 qt / 4.0 L,5W-30 (API SJ/SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Legacy FSM,AMSOIL,high
1998,Subaru,Impreza,STI 22B (JDM),,JDM,w/ filter: 4.2 qt / 4.0 L,5W-30 (API SJ/SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,,,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Legacy Turbo FSM,AMSOIL,high
1998,Subaru,Impreza,WRX/STI V5 (JDM),,JDM,w/ filter: 4.5 qt / 4.3 L,5W-30 (API SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3 | DOT 4,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,,,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,JDM Subaru FSM,AMSOIL,medium
1998,Subaru,Legacy,GT Limited (US),,USDM,w/ filter: 4.4 qt / 4.2 L,5W-30 (API SJ),capacity: 6.8 qt / 6.4 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
1998,Subaru,Legacy,Outback Limited (US),,USDM,w/ filter: 4.4 qt / 4.2 L,5W-30 (API SJ),capacity: 6.8 qt / 6.4 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,initial fill: 2.6 qt / 2.5 L | total: 9.4 qt / 8.9 L,DEXRON III,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru FSM,AMSOIL,high
